id,dataset,model,depth,hidden,eps,seed,test_acc
CiteSeer_L4_H64_epsna_s2,CiteSeer,hfgcn,4,64,na,2,0.2335
Computers_L2_H16_epsna_s0,Computers,hfgcn,2,16,na,0,0.4012
Computers_L2_H16_epsna_s1,Computers,hfgcn,2,16,na,1,0.3844
Computers_L2_H16_epsna_s2,Computers,hfgcn,2,16,na,2,0.3772
Computers_L2_H32_epsna_s0,Computers,hfgcn,2,32,na,0,0.3895
Computers_L2_H32_epsna_s1,Computers,hfgcn,2,32,na,1,0.3895
Computers_L2_H32_epsna_s2,Computers,hfgcn,2,32,na,2,0.3881
Computers_L2_H64_epsna_s0,Computers,hfgcn,2,64,na,0,0.3779
Computers_L2_H64_epsna_s1,Computers,hfgcn,2,64,na,1,0.3910
Computers_L2_H64_epsna_s2,Computers,hfgcn,2,64,na,2,0.4004
Computers_L3_H16_epsna_s0,Computers,hfgcn,3,16,na,0,0.3779
Computers_L3_H16_epsna_s1,Computers,hfgcn,3,16,na,1,0.3677
Computers_L3_H16_epsna_s2,Computers,hfgcn,3,16,na,2,0.3692
Computers_L3_H32_epsna_s0,Computers,hfgcn,3,32,na,0,0.3786
Computers_L3_H32_epsna_s1,Computers,hfgcn,3,32,na,1,0.3961
Computers_L3_H32_epsna_s2,Computers,hfgcn,3,32,na,2,0.3932
Computers_L3_H64_epsna_s0,Computers,hfgcn,3,64,na,0,0.3895
Computers_L3_H64_epsna_s1,Computers,hfgcn,3,64,na,1,0.4026
Computers_L3_H64_epsna_s2,Computers,hfgcn,3,64,na,2,0.3946
Computers_L4_H16_epsna_s0,Computers,hfgcn,4,16,na,0,0.3379
Computers_L4_H16_epsna_s1,Computers,hfgcn,4,16,na,1,0.3445
Computers_L4_H16_epsna_s2,Computers,hfgcn,4,16,na,2,0.3488
Computers_L4_H32_epsna_s0,Computers,hfgcn,4,32,na,0,0.3823
Computers_L4_H32_epsna_s1,Computers,hfgcn,4,32,na,1,0.3859
Computers_L4_H32_epsna_s2,Computers,hfgcn,4,32,na,2,0.3699
Computers_L4_H64_epsna_s0,Computers,hfgcn,4,64,na,0,0.3990
Computers_L4_H64_epsna_s1,Computers,hfgcn,4,64,na,1,0.4062
Computers_L4_H64_epsna_s2,Computers,hfgcn,4,64,na,2,0.3946
