id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,4,0.7940,0.7508,147,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,5,0.7654,0.7613,123,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,6,0.7714,0.7658,132,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,7,0.7714,0.7703,115,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,8,0.7940,0.7778,90,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,9,0.7519,0.7868,125,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s0,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,0,0.7684,0.7658,56,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s1,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,1,0.7684,0.7673,55,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s2,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,2,0.7669,0.7688,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s3,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,3,0.7654,0.7718,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s4,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,4,0.7865,0.7733,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s5,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,5,0.7639,0.7658,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s6,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,6,0.7654,0.7553,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s7,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,7,0.7654,0.7598,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s8,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,8,0.7774,0.7658,55,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s9,CiteSeer,GPRGNN,4,128,0.01,0.0005,500,50,9,0.7624,0.7868,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s0,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,0,0.7669,0.7703,55,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s1,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,1,0.7699,0.7658,55,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s2,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,2,0.7759,0.7718,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s3,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,3,0.7699,0.7477,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s4,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,4,0.7925,0.7703,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s5,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,5,0.7624,0.7673,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s6,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,6,0.7699,0.7538,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s7,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,7,0.7639,0.7598,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s8,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,8,0.7805,0.7613,55,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s9,CiteSeer,GPRGNN,4,128,0.01,0.0001,500,50,9,0.7624,0.7823,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s0,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,0,0.7729,0.7568,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s1,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,1,0.7684,0.7658,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s2,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,2,0.7699,0.7718,56,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s3,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,3,0.7654,0.7703,56,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s4,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,4,0.7910,0.7553,59,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s5,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,5,0.7744,0.7673,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s6,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,6,0.7729,0.7673,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s7,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,7,0.7729,0.7553,56,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s8,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,8,0.7820,0.7808,56,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s9,CiteSeer,GPRGNN,4,128,0.01,0.0,500,50,9,0.7639,0.7913,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s0,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,0,0.7699,0.7598,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s1,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,1,0.7669,0.7613,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s2,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,2,0.7699,0.7658,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s3,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,3,0.7714,0.7568,90,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s4,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,4,0.7910,0.7643,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s5,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,5,0.7699,0.7733,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s6,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,6,0.7759,0.7583,63,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s7,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,7,0.7654,0.7598,59,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s8,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,8,0.7880,0.7883,59,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s9,CiteSeer,GPRGNN,4,128,0.005,0.0005,500,50,9,0.7579,0.7988,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s0,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,0,0.7714,0.7583,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s1,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,1,0.7669,0.7643,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s2,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,2,0.7729,0.7748,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s3,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,3,0.7624,0.7718,69,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s4,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,4,0.7970,0.7673,63,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s5,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,5,0.7639,0.7748,65,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s6,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,6,0.7684,0.7748,68,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s7,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,7,0.7714,0.7613,59,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s8,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,8,0.7880,0.7613,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s9,CiteSeer,GPRGNN,4,128,0.005,0.0001,500,50,9,0.7549,0.7928,60,lr_wd_seed_batched
