id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s2,Actor,GPRGNN,4,128,0.005,0.0001,500,50,2,0.3566,0.3632,137,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s3,Actor,GPRGNN,4,128,0.005,0.0001,500,50,3,0.3368,0.3645,90,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s4,Actor,GPRGNN,4,128,0.005,0.0001,500,50,4,0.3487,0.3816,190,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s5,Actor,GPRGNN,4,128,0.005,0.0001,500,50,5,0.3566,0.3658,141,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s6,Actor,GPRGNN,4,128,0.005,0.0001,500,50,6,0.3513,0.3737,175,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s7,Actor,GPRGNN,4,128,0.005,0.0001,500,50,7,0.3474,0.3842,158,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s8,Actor,GPRGNN,4,128,0.005,0.0001,500,50,8,0.3447,0.3711,172,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s9,Actor,GPRGNN,4,128,0.005,0.0001,500,50,9,0.3539,0.3592,178,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s0,Actor,GPRGNN,4,128,0.005,0.0,500,50,0,0.3539,0.3724,145,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s1,Actor,GPRGNN,4,128,0.005,0.0,500,50,1,0.3592,0.3697,155,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s2,Actor,GPRGNN,4,128,0.005,0.0,500,50,2,0.3526,0.3697,136,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s3,Actor,GPRGNN,4,128,0.005,0.0,500,50,3,0.3579,0.3776,181,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s4,Actor,GPRGNN,4,128,0.005,0.0,500,50,4,0.3579,0.3816,172,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s5,Actor,GPRGNN,4,128,0.005,0.0,500,50,5,0.3539,0.3829,213,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s6,Actor,GPRGNN,4,128,0.005,0.0,500,50,6,0.3526,0.3697,176,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s7,Actor,GPRGNN,4,128,0.005,0.0,500,50,7,0.3513,0.3632,148,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s8,Actor,GPRGNN,4,128,0.005,0.0,500,50,8,0.3553,0.3553,167,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s9,Actor,GPRGNN,4,128,0.005,0.0,500,50,9,0.3539,0.3671,193,lr_wd_seed_batched
