id,dataset,model,depth,hidden,eps,seed,test_acc
Photo_L2_H64_eps0.5_s1,Photo,fagcn,2,64,0.5,1,0.9373
Photo_L2_H64_eps0.5_s2,Photo,fagcn,2,64,0.5,2,0.9359
Photo_L3_H16_eps0.1_s0,Photo,fagcn,3,16,0.1,0,0.9072
Photo_L3_H16_eps0.1_s1,Photo,fagcn,3,16,0.1,1,0.9085
Photo_L3_H16_eps0.1_s2,Photo,fagcn,3,16,0.1,2,0.8784
Photo_L3_H16_eps0.2_s0,Photo,fagcn,3,16,0.2,0,0.9255
Photo_L3_H16_eps0.2_s1,Photo,fagcn,3,16,0.2,1,0.9150
Photo_L3_H16_eps0.2_s2,Photo,fagcn,3,16,0.2,2,0.9111
Photo_L3_H16_eps0.3_s0,Photo,fagcn,3,16,0.3,0,0.9255
Photo_L3_H16_eps0.3_s1,Photo,fagcn,3,16,0.3,1,0.9320
Photo_L3_H16_eps0.3_s2,Photo,fagcn,3,16,0.3,2,0.9190
Photo_L3_H16_eps0.4_s0,Photo,fagcn,3,16,0.4,0,0.9359
Photo_L3_H16_eps0.4_s1,Photo,fagcn,3,16,0.4,1,0.9294
Photo_L3_H16_eps0.4_s2,Photo,fagcn,3,16,0.4,2,0.9399
Photo_L3_H16_eps0.5_s0,Photo,fagcn,3,16,0.5,0,0.9294
Photo_L3_H16_eps0.5_s1,Photo,fagcn,3,16,0.5,1,0.9255
Photo_L3_H16_eps0.5_s2,Photo,fagcn,3,16,0.5,2,0.9242
Photo_L3_H32_eps0.1_s0,Photo,fagcn,3,32,0.1,0,0.8837
Photo_L3_H32_eps0.1_s1,Photo,fagcn,3,32,0.1,1,0.8601
Photo_L3_H32_eps0.1_s2,Photo,fagcn,3,32,0.1,2,0.9176
Photo_L3_H32_eps0.2_s0,Photo,fagcn,3,32,0.2,0,0.9307
Photo_L3_H32_eps0.2_s1,Photo,fagcn,3,32,0.2,1,0.9176
Photo_L3_H32_eps0.2_s2,Photo,fagcn,3,32,0.2,2,0.9320
Photo_L3_H32_eps0.3_s0,Photo,fagcn,3,32,0.3,0,0.9203
Photo_L3_H32_eps0.3_s1,Photo,fagcn,3,32,0.3,1,0.9346
Photo_L3_H32_eps0.3_s2,Photo,fagcn,3,32,0.3,2,0.9268
Photo_L3_H32_eps0.4_s0,Photo,fagcn,3,32,0.4,0,0.9386
Photo_L3_H32_eps0.4_s1,Photo,fagcn,3,32,0.4,1,0.9333
Photo_L3_H32_eps0.4_s2,Photo,fagcn,3,32,0.4,2,0.9098
Photo_L3_H32_eps0.5_s0,Photo,fagcn,3,32,0.5,0,0.9098
Photo_L3_H32_eps0.5_s1,Photo,fagcn,3,32,0.5,1,0.9346
Photo_L3_H32_eps0.5_s2,Photo,fagcn,3,32,0.5,2,0.8993
Photo_L3_H64_eps0.1_s0,Photo,fagcn,3,64,0.1,0,0.9281
Photo_L3_H64_eps0.1_s1,Photo,fagcn,3,64,0.1,1,0.9268
Photo_L3_H64_eps0.1_s2,Photo,fagcn,3,64,0.1,2,0.9137
Photo_L3_H64_eps0.2_s0,Photo,fagcn,3,64,0.2,0,0.9281
Photo_L3_H64_eps0.2_s1,Photo,fagcn,3,64,0.2,1,0.9399
Photo_L3_H64_eps0.2_s2,Photo,fagcn,3,64,0.2,2,0.9359
Photo_L3_H64_eps0.3_s0,Photo,fagcn,3,64,0.3,0,0.9373
Photo_L3_H64_eps0.3_s1,Photo,fagcn,3,64,0.3,1,0.9412
Photo_L3_H64_eps0.3_s2,Photo,fagcn,3,64,0.3,2,0.9399
Photo_L3_H64_eps0.4_s0,Photo,fagcn,3,64,0.4,0,0.9425
Photo_L3_H64_eps0.4_s1,Photo,fagcn,3,64,0.4,1,0.9412
Photo_L3_H64_eps0.4_s2,Photo,fagcn,3,64,0.4,2,0.9412
Photo_L3_H64_eps0.5_s0,Photo,fagcn,3,64,0.5,0,0.9359
Photo_L3_H64_eps0.5_s1,Photo,fagcn,3,64,0.5,1,0.9346
Photo_L3_H64_eps0.5_s2,Photo,fagcn,3,64,0.5,2,0.9425
Photo_L4_H16_eps0.1_s0,Photo,fagcn,4,16,0.1,0,0.9216
Photo_L4_H16_eps0.1_s1,Photo,fagcn,4,16,0.1,1,0.3320
Photo_L4_H16_eps0.1_s2,Photo,fagcn,4,16,0.1,2,0.9046
Photo_L4_H16_eps0.2_s0,Photo,fagcn,4,16,0.2,0,0.9111
Photo_L4_H16_eps0.2_s1,Photo,fagcn,4,16,0.2,1,0.3569
Photo_L4_H16_eps0.2_s2,Photo,fagcn,4,16,0.2,2,0.9111
Photo_L4_H16_eps0.3_s0,Photo,fagcn,4,16,0.3,0,0.9359
Photo_L4_H16_eps0.3_s1,Photo,fagcn,4,16,0.3,1,0.2706
Photo_L4_H16_eps0.3_s2,Photo,fagcn,4,16,0.3,2,0.7137
Photo_L4_H16_eps0.4_s0,Photo,fagcn,4,16,0.4,0,0.9307
Photo_L4_H16_eps0.4_s1,Photo,fagcn,4,16,0.4,1,0.9216
Photo_L4_H16_eps0.4_s2,Photo,fagcn,4,16,0.4,2,0.7464
Photo_L4_H16_eps0.5_s0,Photo,fagcn,4,16,0.5,0,0.9359
Photo_L4_H16_eps0.5_s1,Photo,fagcn,4,16,0.5,1,0.7922
Photo_L4_H16_eps0.5_s2,Photo,fagcn,4,16,0.5,2,0.9020
Photo_L4_H32_eps0.1_s0,Photo,fagcn,4,32,0.1,0,0.9098
Photo_L4_H32_eps0.1_s1,Photo,fagcn,4,32,0.1,1,0.9242
Photo_L4_H32_eps0.1_s2,Photo,fagcn,4,32,0.1,2,0.9163
Photo_L4_H32_eps0.2_s0,Photo,fagcn,4,32,0.2,0,0.9176
Photo_L4_H32_eps0.2_s1,Photo,fagcn,4,32,0.2,1,0.9373
Photo_L4_H32_eps0.2_s2,Photo,fagcn,4,32,0.2,2,0.9373
Photo_L4_H32_eps0.3_s0,Photo,fagcn,4,32,0.3,0,0.9242
Photo_L4_H32_eps0.3_s1,Photo,fagcn,4,32,0.3,1,0.9281
Photo_L4_H32_eps0.3_s2,Photo,fagcn,4,32,0.3,2,0.9464
Photo_L4_H32_eps0.4_s0,Photo,fagcn,4,32,0.4,0,0.9268
Photo_L4_H32_eps0.4_s1,Photo,fagcn,4,32,0.4,1,0.9268
Photo_L4_H32_eps0.4_s2,Photo,fagcn,4,32,0.4,2,0.9373
Photo_L4_H32_eps0.5_s0,Photo,fagcn,4,32,0.5,0,0.9268
Photo_L4_H32_eps0.5_s1,Photo,fagcn,4,32,0.5,1,0.9268
Photo_L4_H32_eps0.5_s2,Photo,fagcn,4,32,0.5,2,0.9412
Photo_L4_H64_eps0.1_s0,Photo,fagcn,4,64,0.1,0,0.9190
Photo_L4_H64_eps0.1_s1,Photo,fagcn,4,64,0.1,1,0.9176
Photo_L4_H64_eps0.1_s2,Photo,fagcn,4,64,0.1,2,0.9072
Photo_L4_H64_eps0.2_s0,Photo,fagcn,4,64,0.2,0,0.9163
Photo_L4_H64_eps0.2_s1,Photo,fagcn,4,64,0.2,1,0.9137
Photo_L4_H64_eps0.2_s2,Photo,fagcn,4,64,0.2,2,0.9359
Photo_L4_H64_eps0.3_s0,Photo,fagcn,4,64,0.3,0,0.9320
Photo_L4_H64_eps0.3_s1,Photo,fagcn,4,64,0.3,1,0.9386
Photo_L4_H64_eps0.3_s2,Photo,fagcn,4,64,0.3,2,0.9320
Photo_L4_H64_eps0.4_s0,Photo,fagcn,4,64,0.4,0,0.9320
Photo_L4_H64_eps0.4_s1,Photo,fagcn,4,64,0.4,1,0.9359
Photo_L4_H64_eps0.4_s2,Photo,fagcn,4,64,0.4,2,0.9320
Photo_L4_H64_eps0.5_s0,Photo,fagcn,4,64,0.5,0,0.9268
Photo_L4_H64_eps0.5_s1,Photo,fagcn,4,64,0.5,1,0.9464
Photo_L4_H64_eps0.5_s2,Photo,fagcn,4,64,0.5,2,0.9438
Texas_L2_H16_eps0.1_s0,Texas,fagcn,2,16,0.1,0,0.5263
Texas_L2_H16_eps0.1_s1,Texas,fagcn,2,16,0.1,1,0.4737
Texas_L2_H16_eps0.1_s2,Texas,fagcn,2,16,0.1,2,0.4211
Texas_L2_H16_eps0.2_s0,Texas,fagcn,2,16,0.2,0,0.5263
Texas_L2_H16_eps0.2_s1,Texas,fagcn,2,16,0.2,1,0.4737
Texas_L2_H16_eps0.2_s2,Texas,fagcn,2,16,0.2,2,0.5789
Texas_L2_H16_eps0.3_s0,Texas,fagcn,2,16,0.3,0,0.6316
Texas_L2_H16_eps0.3_s1,Texas,fagcn,2,16,0.3,1,0.7368
Texas_L2_H16_eps0.3_s2,Texas,fagcn,2,16,0.3,2,0.5263
Texas_L2_H16_eps0.4_s0,Texas,fagcn,2,16,0.4,0,0.6316
Texas_L2_H16_eps0.4_s1,Texas,fagcn,2,16,0.4,1,0.5789
Texas_L2_H16_eps0.4_s2,Texas,fagcn,2,16,0.4,2,0.6316
Texas_L2_H16_eps0.5_s0,Texas,fagcn,2,16,0.5,0,0.7368
Texas_L2_H16_eps0.5_s1,Texas,fagcn,2,16,0.5,1,0.6316
Texas_L2_H16_eps0.5_s2,Texas,fagcn,2,16,0.5,2,0.5789
Texas_L2_H32_eps0.1_s0,Texas,fagcn,2,32,0.1,0,0.5263
Texas_L2_H32_eps0.1_s1,Texas,fagcn,2,32,0.1,1,0.4737
Texas_L2_H32_eps0.1_s2,Texas,fagcn,2,32,0.1,2,0.4737
Texas_L2_H32_eps0.2_s0,Texas,fagcn,2,32,0.2,0,0.4737
Texas_L2_H32_eps0.2_s1,Texas,fagcn,2,32,0.2,1,0.5263
Texas_L2_H32_eps0.2_s2,Texas,fagcn,2,32,0.2,2,0.5263
Texas_L2_H32_eps0.3_s0,Texas,fagcn,2,32,0.3,0,0.6316
Texas_L2_H32_eps0.3_s1,Texas,fagcn,2,32,0.3,1,0.6316
Texas_L2_H32_eps0.3_s2,Texas,fagcn,2,32,0.3,2,0.6316
Texas_L2_H32_eps0.4_s0,Texas,fagcn,2,32,0.4,0,0.6842
Texas_L2_H32_eps0.4_s1,Texas,fagcn,2,32,0.4,1,0.7368
Texas_L2_H32_eps0.4_s2,Texas,fagcn,2,32,0.4,2,0.6316
Texas_L2_H32_eps0.5_s0,Texas,fagcn,2,32,0.5,0,0.6842
Texas_L2_H32_eps0.5_s1,Texas,fagcn,2,32,0.5,1,0.6842
Texas_L2_H32_eps0.5_s2,Texas,fagcn,2,32,0.5,2,0.6316
Texas_L2_H64_eps0.1_s0,Texas,fagcn,2,64,0.1,0,0.4211
Texas_L2_H64_eps0.1_s1,Texas,fagcn,2,64,0.1,1,0.4211
Texas_L2_H64_eps0.1_s2,Texas,fagcn,2,64,0.1,2,0.4211
Texas_L2_H64_eps0.2_s0,Texas,fagcn,2,64,0.2,0,0.3684
Texas_L2_H64_eps0.2_s1,Texas,fagcn,2,64,0.2,1,0.5789
Texas_L2_H64_eps0.2_s2,Texas,fagcn,2,64,0.2,2,0.4737
Texas_L2_H64_eps0.3_s0,Texas,fagcn,2,64,0.3,0,0.5263
Texas_L2_H64_eps0.3_s1,Texas,fagcn,2,64,0.3,1,0.5263
Texas_L2_H64_eps0.3_s2,Texas,fagcn,2,64,0.3,2,0.5789
Texas_L2_H64_eps0.4_s0,Texas,fagcn,2,64,0.4,0,0.4737
Texas_L2_H64_eps0.4_s1,Texas,fagcn,2,64,0.4,1,0.5789
Texas_L2_H64_eps0.4_s2,Texas,fagcn,2,64,0.4,2,0.6316
Texas_L2_H64_eps0.5_s0,Texas,fagcn,2,64,0.5,0,0.5263
Texas_L2_H64_eps0.5_s1,Texas,fagcn,2,64,0.5,1,0.7895
Texas_L2_H64_eps0.5_s2,Texas,fagcn,2,64,0.5,2,0.7368
Texas_L3_H16_eps0.1_s0,Texas,fagcn,3,16,0.1,0,0.4211
Texas_L3_H16_eps0.1_s1,Texas,fagcn,3,16,0.1,1,0.3684
Texas_L3_H16_eps0.1_s2,Texas,fagcn,3,16,0.1,2,0.4737
Texas_L3_H16_eps0.2_s0,Texas,fagcn,3,16,0.2,0,0.4737
Texas_L3_H16_eps0.2_s1,Texas,fagcn,3,16,0.2,1,0.4211
Texas_L3_H16_eps0.2_s2,Texas,fagcn,3,16,0.2,2,0.4211
