dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,8,0.6894969344139099,0.6884927749633789,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,9,0.6954987049102783,0.6816096305847168,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,0,0.6986761093139648,0.699964702129364,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,1,0.6963812708854675,0.6934345364570618,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,2,0.6916151642799377,0.6906106472015381,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,3,0.6954987049102783,0.6960818767547607,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,4,0.7009708881378174,0.6906106472015381,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,5,0.694969117641449,0.6994352340698242,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,6,0.6902030110359192,0.6860218644142151,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,7,0.6872020959854126,0.6936110258102417,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,8,0.6986761093139648,0.6983762979507446,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.29000000000000015,9,0.6974404454231262,0.6809036135673523,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,0,0.7002648115158081,0.6960818767547607,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,1,0.6983230113983154,0.6951994299888611,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,2,0.6905560493469238,0.692905068397522,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,3,0.6965578198432922,0.699964702129364,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,4,0.7007943391799927,0.6846099495887756,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,5,0.6923213005065918,0.695375919342041,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,6,0.6974404454231262,0.6939640045166016,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,7,0.6981465220451355,0.6967878341674805,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,8,0.6928508281707764,0.6946699619293213,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.19000000000000017,9,0.7000882625579834,0.6840804815292358,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,0,0.7018535137176514,0.7057889103889465,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,1,0.7000882625579834,0.699964702129364,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,2,0.6919682025909424,0.6941404938697815,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,3,0.6944395303726196,0.699964702129364,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,4,0.7057369947433472,0.6899046897888184,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,5,0.702206552028656,0.7139075398445129,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,6,0.6942630410194397,0.6886692643165588,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.09000000000000019,7,0.6930273771286011,0.6980233192443848,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
