id,dataset,model,depth,hidden,eps,seed,test_acc
Squirrel_L2_H32_epsna_s0,Squirrel,mlp,2,32,na,0,0.3767
Squirrel_L2_H32_epsna_s1,Squirrel,mlp,2,32,na,1,0.3453
Squirrel_L2_H32_epsna_s2,Squirrel,mlp,2,32,na,2,0.3408
Squirrel_L2_H64_epsna_s0,Squirrel,mlp,2,64,na,0,0.3363
Squirrel_L2_H64_epsna_s1,Squirrel,mlp,2,64,na,1,0.3722
Squirrel_L2_H64_epsna_s2,Squirrel,mlp,2,64,na,2,0.3632
Squirrel_L3_H16_epsna_s0,Squirrel,mlp,3,16,na,0,0.3543
Squirrel_L3_H16_epsna_s1,Squirrel,mlp,3,16,na,1,0.3767
Squirrel_L3_H16_epsna_s2,Squirrel,mlp,3,16,na,2,0.3587
Squirrel_L3_H32_epsna_s0,Squirrel,mlp,3,32,na,0,0.3139
Squirrel_L3_H32_epsna_s1,Squirrel,mlp,3,32,na,1,0.3857
Squirrel_L3_H32_epsna_s2,Squirrel,mlp,3,32,na,2,0.3408
Squirrel_L3_H64_epsna_s0,Squirrel,mlp,3,64,na,0,0.3767
Squirrel_L3_H64_epsna_s1,Squirrel,mlp,3,64,na,1,0.3587
Squirrel_L3_H64_epsna_s2,Squirrel,mlp,3,64,na,2,0.3901
Squirrel_L4_H16_epsna_s0,Squirrel,mlp,4,16,na,0,0.3946
Squirrel_L4_H16_epsna_s1,Squirrel,mlp,4,16,na,1,0.3767
Squirrel_L4_H16_epsna_s2,Squirrel,mlp,4,16,na,2,0.3453
Squirrel_L4_H32_epsna_s0,Squirrel,mlp,4,32,na,0,0.3767
Squirrel_L4_H32_epsna_s1,Squirrel,mlp,4,32,na,1,0.3857
Squirrel_L4_H32_epsna_s2,Squirrel,mlp,4,32,na,2,0.3543
Squirrel_L4_H64_epsna_s0,Squirrel,mlp,4,64,na,0,0.3812
Squirrel_L4_H64_epsna_s1,Squirrel,mlp,4,64,na,1,0.3543
Squirrel_L4_H64_epsna_s2,Squirrel,mlp,4,64,na,2,0.3812
Minesweeper_L2_H16_epsna_s0,Minesweeper,mlp,2,16,na,0,0.7960
Minesweeper_L2_H16_epsna_s1,Minesweeper,mlp,2,16,na,1,0.7960
Minesweeper_L2_H16_epsna_s2,Minesweeper,mlp,2,16,na,2,0.7960
Minesweeper_L2_H32_epsna_s0,Minesweeper,mlp,2,32,na,0,0.7960
Minesweeper_L2_H32_epsna_s1,Minesweeper,mlp,2,32,na,1,0.7960
Minesweeper_L2_H32_epsna_s2,Minesweeper,mlp,2,32,na,2,0.7960
Minesweeper_L2_H64_epsna_s0,Minesweeper,mlp,2,64,na,0,0.7960
Minesweeper_L2_H64_epsna_s1,Minesweeper,mlp,2,64,na,1,0.7960
Minesweeper_L2_H64_epsna_s2,Minesweeper,mlp,2,64,na,2,0.7960
Minesweeper_L3_H16_epsna_s0,Minesweeper,mlp,3,16,na,0,0.7960
Minesweeper_L3_H16_epsna_s1,Minesweeper,mlp,3,16,na,1,0.7960
Minesweeper_L3_H16_epsna_s2,Minesweeper,mlp,3,16,na,2,0.7960
Minesweeper_L3_H32_epsna_s0,Minesweeper,mlp,3,32,na,0,0.7960
Minesweeper_L3_H32_epsna_s1,Minesweeper,mlp,3,32,na,1,0.7960
Minesweeper_L3_H32_epsna_s2,Minesweeper,mlp,3,32,na,2,0.7960
Minesweeper_L3_H64_epsna_s0,Minesweeper,mlp,3,64,na,0,0.7960
Minesweeper_L3_H64_epsna_s1,Minesweeper,mlp,3,64,na,1,0.7960
Minesweeper_L3_H64_epsna_s2,Minesweeper,mlp,3,64,na,2,0.7960
Minesweeper_L4_H16_epsna_s0,Minesweeper,mlp,4,16,na,0,0.7960
Minesweeper_L4_H16_epsna_s1,Minesweeper,mlp,4,16,na,1,0.7960
Minesweeper_L4_H16_epsna_s2,Minesweeper,mlp,4,16,na,2,0.7960
